ITERATION,Global Best Position,Global Best Fitness
ITERATION 0,7.521638461873061,471.7205586010478
ITERATION 1,9.0,16415.192637906734
ITERATION 2,9.0,53187.5489098567
ITERATION 3,9.0,89074.16152869513
ITERATION 4,9.0,89074.16152869513
ITERATION 5,8.624842823036932,92012.35815005252
ITERATION 6,8.580124044709997,92357.62623168394
ITERATION 7,5.391967002541615,109811.0953365514
ITERATION 8,4.96643521791939,110129.83635087182
ITERATION 9,4.96643521791939,110129.83635087182
ITERATION 10,4.96643521791939,110129.83635087182
ITERATION 11,4.96643521791939,110129.83635087182
ITERATION 12,4.96643521791939,110129.83635087182
ITERATION 13,4.96643521791939,110129.83635087182
ITERATION 14,4.96643521791939,110129.83635087182
ITERATION 15,4.96643521791939,110129.83635087182
ITERATION 16,4.9933502227115625,110132.23148761797
ITERATION 17,4.9933502227115625,110132.23148761797
ITERATION 18,5.005420214610505,110132.26430982945
ITERATION 19,5.005420214610505,110132.26430982945
ITERATION 20,4.994822526970369,110132.26988861323
ITERATION 21,5.002261335397464,110132.31771389236
ITERATION 22,5.002261335397464,110132.31771389236
ITERATION 23,5.002261335397464,110132.31771389236
ITERATION 24,5.002261335397464,110132.31771389236
ITERATION 25,5.002261335397464,110132.31771389236
ITERATION 26,4.998990572517485,110132.3267293583
ITERATION 27,4.998990572517485,110132.3267293583
ITERATION 28,4.998990572517485,110132.3267293583
ITERATION 29,4.998990572517485,110132.3267293583
ITERATION 30,4.998990572517485,110132.3267293583
ITERATION 31,4.999613972102159,110132.32864578371
ITERATION 32,4.999714100396718,110132.3287939854
ITERATION 33,4.999714100396718,110132.3287939854
ITERATION 34,4.999714100396718,110132.3287939854
ITERATION 35,4.999714100396718,110132.3287939854
ITERATION 36,4.999714100396718,110132.3287939854
ITERATION 37,4.999714100396718,110132.3287939854
ITERATION 38,4.999714100396718,110132.3287939854
ITERATION 39,5.000055555560679,110132.32896723515
ITERATION 40,5.000055555560679,110132.32896723515
ITERATION 41,5.000055555560679,110132.32896723515
ITERATION 42,5.000055555560679,110132.32896723515
ITERATION 43,5.000055555560679,110132.32896723515
ITERATION 44,5.000055555560679,110132.32896723515
ITERATION 45,5.000055555560679,110132.32896723515
ITERATION 46,5.000055555560679,110132.32896723515
ITERATION 47,5.000055555560679,110132.32896723515
ITERATION 48,5.000055555560679,110132.32896723515
ITERATION 49,5.000055555560679,110132.32896723515
ITERATION 50,5.000055555560679,110132.32896723515
ITERATION 51,5.000055555560679,110132.32896723515
ITERATION 52,4.9999753878145645,110132.32897269925
ITERATION 53,4.9999753878145645,110132.32897269925
ITERATION 54,4.9999753878145645,110132.32897269925
ITERATION 55,4.9999753878145645,110132.32897269925
ITERATION 56,4.9999753878145645,110132.32897269925
ITERATION 57,4.9999753878145645,110132.32897269925
ITERATION 58,4.9999753878145645,110132.32897269925
ITERATION 59,4.9999753878145645,110132.32897269925
ITERATION 60,4.9999753878145645,110132.32897269925
ITERATION 61,4.9999753878145645,110132.32897269925
ITERATION 62,4.9999753878145645,110132.32897269925
ITERATION 63,4.9999753878145645,110132.32897269925
ITERATION 64,5.000023731550828,110132.32897279314
ITERATION 65,5.000023731550828,110132.32897279314
ITERATION 66,5.000023731550828,110132.32897279314
ITERATION 67,5.000023731550828,110132.32897279314
ITERATION 68,5.000023731550828,110132.32897279314
ITERATION 69,5.000006150394701,110132.32897395022
ITERATION 70,5.000006150394701,110132.32897395022
ITERATION 71,5.000004196089388,110132.32897399476
ITERATION 72,5.000004196089388,110132.32897399476
ITERATION 73,5.000004196089388,110132.32897399476
ITERATION 74,5.000004196089388,110132.32897399476
ITERATION 75,4.999998678422763,110132.3289740297
ITERATION 76,4.999998678422763,110132.3289740297
ITERATION 77,5.0000002206618825,110132.32897403328
ITERATION 78,5.0000002206618825,110132.32897403328
ITERATION 79,5.0000002206618825,110132.32897403328
ITERATION 80,5.0000002206618825,110132.32897403328
ITERATION 81,5.0000002206618825,110132.32897403328
ITERATION 82,5.0000002206618825,110132.32897403328
ITERATION 83,5.0000002206618825,110132.32897403328
ITERATION 84,5.0000002206618825,110132.32897403328
ITERATION 85,5.0000002206618825,110132.32897403328
ITERATION 86,5.0000002206618825,110132.32897403328
ITERATION 87,5.0000002206618825,110132.32897403328
ITERATION 88,5.0000002206618825,110132.32897403328
ITERATION 89,5.0000002206618825,110132.32897403328
ITERATION 90,5.0000002206618825,110132.32897403328
ITERATION 91,5.0000002206618825,110132.32897403328
ITERATION 92,5.0000002206618825,110132.32897403328
ITERATION 93,5.0000002206618825,110132.32897403328
ITERATION 94,5.0000002206618825,110132.32897403328
ITERATION 95,5.0000002206618825,110132.32897403328
ITERATION 96,5.0000002206618825,110132.32897403328
ITERATION 97,4.999999944803871,110132.3289740336
ITERATION 98,4.999999944803871,110132.3289740336
ITERATION 99,4.999999944803871,110132.3289740336
